25,24,17,7,11,
6,20,10,14,4,
25,14,35,18,7,
34,23,1,14,15,
1,15,29,19,35,
33,35,13,15,28,
0,25,28,7,19,
14,0,5,7,20,
12,29,6,21,10,
1,4,6,19,33,
14,16,11,21,8,
27,16,17,18,19,
34,9,15,0,29,
14,25,4,33,10,
0,4,18,34,32,
3,14,11,21,31,
12,27,29,22,33,
11,22,9,17,4,
24,26,16,7,10,
28,18,32,23,0,
18,8,10,27,25,
16,30,20,23,1,
18,9,23,15,25,
26,30,20,35,0,
30,19,35,15,1,
15,29,19,10,0,
30,21,11,15,1,
14,28,19,34,0,
29,6,33,10,12,
13,4,18,6,0,
16,13,7,33,35,
24,4,6,8,22,
29,32,9,15,12,
24,3,5,31,8,
17,31,21,14,0,
14,4,31,21,11,
28,31,21,11,14,
12,4,32,9,34,
