TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
0,1,Training,0,Semi-Circle,Prepare,,,
0,1,Training,0,Semi-Circle,Prepare,,,
0,1,Training,0,Semi-Circle,Prepare,,,
15.94187,1,Training,0,Semi-Circle,ShowPattern,,,
15.9752,1,Training,0,Semi-Circle,Card,35,,,
17.14184,1,Training,0,Semi-Circle,Card,10,,,
19.35291,1,Training,0,Semi-Circle,Card,6,,,
0,1,Training,0,Full Circle,Prepare,,,
0,1,Training,0,Full Circle,Prepare,,,
0,1,Training,0,Semi-Circle,Prepare,,,
9.030911,1,Training,0,Semi-Circle,ShowPattern,,,
10.18644,1,Training,0,Semi-Circle,Card,6,,,
